date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Mar%202017%2017:38:29%20GMT	http://logicworldinfotech.com/robots.txt		(from )
10:38:31	7596/7596	---M-Z	200	added ('OK')	text/html	etag:%22804379a0a8d21:0%22	http://logicworldinfotech.com/Ivan/	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/index.html	(from )
10:38:32	4825/4825	---M-Z	200	added ('OK')	text/css	etag:%220cbd14b57f7d01:0%22	http://logicworldinfotech.com/Ivan/css/jquery.fancybox.css	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/css/jquery.fancybox.css	(from http://logicworldinfotech.com/Ivan/)
10:38:32	4345/4345	---M-Z	200	added ('OK')	text/css	etag:%2280469b283aa8d21:0%22	http://logicworldinfotech.com/Ivan/css/styles.css	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/css/styles.css	(from http://logicworldinfotech.com/Ivan/)
10:38:32	16364/16364	---M-Z	200	added ('OK')	application/javascript	etag:%2207956527cc4cd1:0%22	http://logicworldinfotech.com/Ivan/js/500px.js	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/js/500px.js	(from http://logicworldinfotech.com/Ivan/)
10:38:32	5478/5478	---M-Z	200	added ('OK')	application/javascript	etag:%2280237f1794a8d21:0%22	http://logicworldinfotech.com/Ivan/js/YouTubeScript.js	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/js/YouTubeScript.js	(from http://logicworldinfotech.com/Ivan/)
10:38:33	35624/35624	---M-Z	200	added ('OK')	application/javascript	etag:%220f44d32ace0cf1:0%22	http://logicworldinfotech.com/Ivan/js/isotope.min.js	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/js/isotope.min.js	(from http://logicworldinfotech.com/Ivan/)
10:38:33	23158/23158	---M-Z	200	added ('OK')	application/javascript	etag:%2207b8e37ddad01:0%22	http://logicworldinfotech.com/Ivan/js/jquery.fancybox.pack.js	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/js/jquery.fancybox.pack.js	(from http://logicworldinfotech.com/Ivan/)
10:38:33	1776/1776	---M-Z	200	added ('OK')	application/javascript	etag:%2206f68adfea7d21:0%22	http://logicworldinfotech.com/Ivan/js/main.js	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/js/main.js	(from http://logicworldinfotech.com/Ivan/)
10:38:33	14879/14879	---M-Z	200	added ('OK')	application/javascript	etag:%220ffb4f4ca8d21:0%22	http://logicworldinfotech.com/Ivan/js/fliplightbox.min.js	/home/ninja13/Documents/Coding_Dojo/MyProjects/Coding_Chalenges/Brightedge/Media_API/download_live/logicworldinfotech.com/Ivan/js/fliplightbox.min.js	(from http://logicworldinfotech.com/Ivan/)
